COUNTYFP,GEOID,NAME,Life_exp,Pop per sq mi,"Primary Care Physicians rate per 100,000"
205,13205,"Mitchell County, GA",75.2,43.84570313,48.72862585
207,13207,"Monroe County, GA",77.04,67.44444444,47.96516991
209,13209,"Montgomery County, GA",77.33333333,36.49795918,0
211,13211,"Morgan County, GA",76.66,51.28,44.33115372
213,13213,"Murray County, GA",74.6625,114.622093,25.27486415
215,13215,"Muscogee County, GA",74.49583333,919.9166667,129.6247364
217,13217,"Newton County, GA",75.76153846,380.0144928,39.8206176
219,13219,"Oconee County, GA",80.83333333,192.7580645,102.8777979
221,13221,"Oglethorpe County, GA",76.2,33.40589569,13.44899469
223,13223,"Paulding County, GA",77.19375,482.9585987,19.04912046
225,13225,"Peach County, GA",75.54,178.6092715,41.16766467
227,13227,"Pickens County, GA",77.26666667,129.8965517,72.58570062
229,13229,"Pierce County, GA",75.05,55.66763848,20.93911951
231,13231,"Pike County, GA",77.175,82.22477064,5.573825316
233,13233,"Polk County, GA",73.72857143,132.4983923,50.57316251
235,13235,"Pulaski County, GA",74.73333333,46.13360324,105.3001053
237,13237,"Putnam County, GA",75.76666667,61.93895349,37.46546153
239,13239,"Quitman County, GA",77.7,14.96710526,0
241,13241,"Rabun County, GA",78.76,43.7277628,73.70554634
243,13243,"Randolph County, GA",75.15,16.66666667,55.60962046
245,13245,"Richmond County, GA",73.71463415,621.7623457,168.4894917
247,13247,"Rockdale County, GA",77.67333333,674.4580153,92.28414513
249,13249,"Schley County, GA",77.1,31.00595238,0
251,13251,"Screven County, GA",75.18,21.69598765,21.18344867
253,13253,"Seminole County, GA",73.7,35.98739496,80.95293165
255,13255,"Spalding County, GA",73.55833333,322.3131313,57.76646735
257,13257,"Stephens County, GA",73.74,142.1564246,82.07613539
259,13259,"Stewart County, GA",76.75,13.0130719,51.27328662
261,13261,"Sumter County, GA",75.9,63.29072165,87.72214822
263,13263,"Talbot County, GA",74.7,16.53435115,31.5606754
265,13265,"Taliaferro County, GA",75.6,8.420512821,0
267,13267,"Tattnall County, GA",74.5,52.45247934,51.52800349
269,13269,"Taylor County, GA",74.53333333,21.80687831,24.00960384
271,13271,"Telfair County, GA",78.7,37.30385488,24.3902439
273,13273,"Terrell County, GA",74.175,26.82440476,10.9733348
275,13275,"Thomas County, GA",75.32727273,81.74452555,104.2984266
277,13277,"Tift County, GA",75.92222222,152.9660377,127.5635365
279,13279,"Toombs County, GA",74.36666667,73.97820163,84.43155538
281,13281,"Towns County, GA",79.63333333,67.54216867,89.42944017
283,13283,"Treutlen County, GA",76.6,33.84577114,0
285,13285,"Troup County, GA",75.91428571,168.1038647,65.93753136
287,13287,"Turner County, GA",74.9,27.90909091,12.1743365
289,13289,"Twiggs County, GA",74.55,23.18611111,11.91895113
291,13291,"Union County, GA",77.675,68.13312693,103.2918669
293,13293,"Upson County, GA",73.07142857,80.46319018,79.64199029
295,13295,"Walker County, GA",75.41538462,153.6704036,19.09910969
297,13297,"Walton County, GA",76.55333333,268.4893617,45.24938065
299,13299,"Ware County, GA",72.66666667,39.12181617,107.43568
301,13301,"Warren County, GA",71.8,18.79020979,18.31501832
303,13303,"Washington County, GA",77.34,30.49411765,76.86395081
305,13305,"Wayne County, GA",74.58333333,45.62790698,71.10448974
307,13307,"Webster County, GA",77.55,12.52857143,0
309,13309,"Wheeler County, GA",77.3,26.54697987,0
311,13311,"White County, GA",78.28,117.3016529,21.18718881
313,13313,"Whitfield County, GA",77.59444444,357.4793103,71.96591694
315,13315,"Wilcox County, GA",73.275,23.74736842,22.58100937
317,13317,"Wilkes County, GA",75.55,21.04246285,70.9435492
319,13319,"Wilkinson County, GA",74.2,20.31319911,43.6919716
321,13321,"Worth County, GA",74.3,36.29473684,48.31151263
